feature,importance
auction_level,0.21213534605207338
contract_strain,0.16704896882431178
hcp_total,0.10810676106306365
len_diamond,0.07588695072275004
len_heart,0.06532870005040628
len_spade,0.049986786912119135
len_club,0.045310169766264376
is_doubled,0.03616938431469789
partner_opened,0.02705732525402119
controls_total,0.025654424066355607
hcp_heart,0.02103420943432197
ltc,0.015679073685119164
n_aces,0.015174958335502026
n_contracts_bid,0.013862928516155372
is_passout,0.012587163786997944
quick_tricks,0.012263583872531729
hcp_club,0.008961313949973456
double_status,0.008806044828074068
is_competitive,0.008698905928332987
is_balanced,0.008382750577228064
shortest_suit,0.0069559697272588835
controls_club,0.00684149480027805
rho_opened,0.006795310152031574
longest_suit,0.005906726570857848
n_jacks,0.00545910317003094
self_opened,0.0054139268264798025
n_kings,0.0051012245826948435
lho_opened,0.004504796716501432
hcp_diamond,0.0032806064754047543
n_honors_in_long_suits,0.003029094377788089
n_suits_with_honors,0.0025400957293146282
hcp_spade,0.002518289360934622
controls_heart,0.0016439429264408405
favorable_vul,0.0005897115704524518
controls_spade,0.0004443541737747903
has_ak_in_any_suit,0.0004208367320714386
we_vulnerable,0.00029594721107943417
controls_diamond,8.515989672117205e-05
n_singletons,3.765905958424794e-05
n_voids,0.0
n_queens,0.0
has_contract,0.0
is_redoubled,0.0
they_vulnerable,0.0
both_vulnerable,0.0
none_vulnerable,0.0
unfavorable_vul,0.0
n_passed_before_opening,0.0
