covariate,action,action_idx,T_obs,p_raw,n_samples,n_episodes,p_adjusted,significant_fdr
hcp_total,Dbl,1,1.0261539372628767,0.009900990099009901,44607,9310,0.009900990099009901,True
hcp_total,1C,3,8.784904021864158,0.009900990099009901,15643,9133,0.009900990099009901,True
hcp_total,1D,4,5.952011081014595,0.009900990099009901,18431,9156,0.009900990099009901,True
hcp_total,1H,5,2.967316473697622,0.009900990099009901,21740,9173,0.009900990099009901,True
hcp_total,1S,6,2.336766536063876,0.009900990099009901,25028,9107,0.009900990099009901,True
hcp_total,1NT,7,1.8084590125297293,0.009900990099009901,30155,9130,0.009900990099009901,True
hcp_total,2C,8,1.7035159242400246,0.009900990099009901,34569,9140,0.009900990099009901,True
controls_total,Dbl,1,1.0129525837573312,0.009900990099009901,46622,9358,0.009900990099009901,True
controls_total,1C,3,8.076656170858397,0.009900990099009901,16605,9327,0.009900990099009901,True
controls_total,1D,4,5.693527002892778,0.009900990099009901,18963,9137,0.009900990099009901,True
controls_total,1H,5,2.5294189409796455,0.009900990099009901,22432,9169,0.009900990099009901,True
controls_total,1S,6,2.108953655056782,0.009900990099009901,26420,9186,0.009900990099009901,True
controls_total,1NT,7,1.4931436894692316,0.009900990099009901,31828,9206,0.009900990099009901,True
controls_total,2C,8,1.5578848406028392,0.009900990099009901,36499,9232,0.009900990099009901,True
ltc,Dbl,1,0.533565011922531,0.009900990099009901,46192,9369,0.009900990099009901,True
ltc,1C,3,6.823550615844804,0.009900990099009901,15974,9143,0.009900990099009901,True
ltc,1D,4,4.89854909738203,0.009900990099009901,18851,9161,0.009900990099009901,True
ltc,1H,5,2.348374632692755,0.009900990099009901,22259,9185,0.009900990099009901,True
ltc,1S,6,1.9146567744399232,0.009900990099009901,26187,9211,0.009900990099009901,True
ltc,1NT,7,1.3409146685117808,0.009900990099009901,31463,9238,0.009900990099009901,True
ltc,2C,8,1.365400829907686,0.009900990099009901,36025,9238,0.009900990099009901,True
quick_tricks,Dbl,1,0.9965726714280863,0.009900990099009901,47634,9370,0.009900990099009901,True
quick_tricks,1C,3,8.404744761186455,0.009900990099009901,16311,9204,0.009900990099009901,True
quick_tricks,1D,4,5.623391521472249,0.009900990099009901,19292,9224,0.009900990099009901,True
quick_tricks,1H,5,2.745097266360167,0.009900990099009901,22807,9237,0.009900990099009901,True
quick_tricks,1S,6,2.318837510515849,0.009900990099009901,26837,9246,0.009900990099009901,True
quick_tricks,1NT,7,1.7879540662258457,0.009900990099009901,32312,9257,0.009900990099009901,True
quick_tricks,2C,8,1.5962033097921082,0.009900990099009901,37020,9260,0.009900990099009901,True
n_contracts_bid,Dbl,1,1.3464180184751435,0.009900990099009901,46465,9391,0.009900990099009901,True
n_contracts_bid,1C,3,5.094737266194748,0.009900990099009901,16902,9438,0.009900990099009901,True
n_contracts_bid,1D,4,3.9203366677239466,0.009900990099009901,19919,9438,0.009900990099009901,True
n_contracts_bid,1H,5,0.21130635163701983,0.009900990099009901,22948,9438,0.009900990099009901,True
n_contracts_bid,1S,6,1.2571563926850176,0.009900990099009901,27391,9438,0.009900990099009901,True
n_contracts_bid,1NT,7,0.49094085682205396,0.009900990099009901,32046,9438,0.009900990099009901,True
n_contracts_bid,2C,8,1.0651341048193799,0.009900990099009901,37512,9438,0.009900990099009901,True
